DT_REFER;CD_CONTA;CD_CVM;GRUPO_DFP;ORDEM_EXERC;DS_CONTA;VL_CONTA
2011-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1081396000.0
2011-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1304282000.0
2011-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;414578000.0
2011-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;640436000.0
2011-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2011-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2011-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;634773000.0
2011-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;635221000.0
2011-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;786000.0
2011-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;786000.0
2011-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;3477534000.0
2011-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;3351158000.0
2011-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2011-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2011-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;12741000.0
2011-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;12438000.0
2011-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;4159000.0
2011-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;4090000.0
2011-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1081396000.0
2011-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1015506000.0
2011-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;414578000.0
2011-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;356012000.0
2011-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2011-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2011-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;634773000.0
2011-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;639443000.0
2011-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;786000.0
2011-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;786000.0
2011-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;3477534000.0
2011-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;3294360000.0
2011-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2011-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2011-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;12741000.0
2011-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;12622000.0
2011-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;4159000.0
2011-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;4022000.0
2011-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1081675000.0
2011-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1200952000.0
2011-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;414578000.0
2011-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;473778000.0
2011-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2011-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2011-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;634822000.0
2011-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;711161000.0
2011-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;786000.0
2011-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;786000.0
2011-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;3477534000.0
2011-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;3487406000.0
2011-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2011-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2011-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;12741000.0
2011-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;12949000.0
2011-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;4159000.0
2011-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;3953000.0
2012-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1754579000.0
2012-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;691090000.0
2012-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2012-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;996845000.0
2012-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1004641000.0
2012-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;3099000.0
2012-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;3099000.0
2012-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4907087000.0
2012-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;4832303000.0
2012-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;14292000.0
2012-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6369000.0
2012-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;2578940000.0
2012-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;1529686000.0
2012-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2012-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;999944000.0
2012-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1011221000.0
2012-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2012-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2012-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4615235000.0
2012-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;4503117000.0
2012-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;14825000.0
2012-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6270000.0
2012-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;4023306000.0
2012-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;813234000.0
2012-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;1887626000.0
2012-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;958731000.0
2012-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1209127000.0
2012-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2012-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2012-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4615235000.0
2012-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5877768000.0
2012-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;16394000.0
2012-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6045000.0
2013-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;3762674000.0
2013-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;3724741000.0
2013-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;538696000.0
2013-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;490462000.0
2013-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;1938765000.0
2013-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;1948085000.0
2013-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;1161356000.0
2013-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1171192000.0
2013-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2013-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2013-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5635748000.0
2013-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5474944000.0
2013-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;161733000.0
