DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax;FCFE
2011-03-31;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7513000.0;-13915000.0;511000.0;72834000.0;-521295000.0;60961000.0;-467860000.0;-373000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5009000.0;-52834000.0;0.0;-187956.88180053988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58808.3544309147;0.0;-467708000.0
2011-04-01;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7481868.131868131;-13915000.0;511000.0;72833032.96703297;-521295000.0;60955043.95604396;-467860000.0;-377098.9010989011;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5042549.450549451;-53148923.07692308;-430833303.8853853;534449124.877972;283663.6618838955;-138419986.1422615;-13912042.703916052;1014664.5481898164;0.0;0.0;2375412.572757945;0.0;0.0;0.0;101550734.7881644;-727376.9578116185;-467713065.93406594
2011-04-02;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7450736.263736264;-13915000.0;511000.0;72832065.93406594;-521295000.0;60949087.91208791;-467860000.0;-381197.8021978022;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5076098.901098901;-53463846.15384615;-349837611.3876397;479882013.5527734;143000.000000001;-138391449.2412299;-13909134.39709389;510999.99999999534;0.0;0.0;1199000.0000000056;0.0;0.0;0.0;87992178.44055398;-393843.4215969569;-467718131.8681319
2011-04-03;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7419604.395604395;-13915000.0;511000.0;72831098.9010989;-521295000.0;60943131.86813187;-467860000.0;-385296.7032967033;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5109648.351648351;-53778769.23076923;-314429168.546088;448349532.4876393;142999.99999999997;-138391177.02135858;-13909106.471475044;511000.00000000006;0.0;0.0;1199000.0;0.0;0.0;0.0;80881597.14906181;-397733.79552879214;-467723197.8021978
2011-04-04;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7388472.527472528;-13915000.0;511000.0;72830131.86813186;-521295000.0;60937175.82417583;-467860000.0;-389395.6043956044;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5143197.802197802;-54093692.307692304;-296168100.9107049;428233827.2392834;143000.0;-138391175.70599326;-13909106.33563741;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;76671413.52514961;-401907.3401087711;-467728263.73626375
2011-04-05;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7357340.659340659;-13915000.0;511000.0;72829164.83516483;-521295000.0;60931219.78021978;-467860000.0;-393494.5054945055;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5176747.252747253;-54408615.38461538;-285364285.48893803;414694289.0509578;143000.0;-138391175.6996672;-13909106.334979774;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;74005342.09579872;-393317.3374476972;-467733329.6703297
2011-04-06;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7326208.791208792;-13915000.0;511000.0;72828197.8021978;-521295000.0;60925263.73626374;-467860000.0;-397593.4065934066;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5210296.703296703;-54723538.461538464;-230696485.5822577;347176218.8866114;143000.0;-138391175.69963676;-13909106.33497659;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;60760133.04136093;-397416.2385465984;-467738395.6043956
2011-04-07;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7295076.923076923;-13915000.0;511000.0;72827230.76923077;-521295000.0;60919307.692307696;-467860000.0;-401692.3076923077;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5243846.153846154;-55038461.538461536;-286704140.05916333;384022731.36809695;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;70105377.25033854;-401515.13964549935;-467743461.53846157
2011-04-08;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7263945.054945055;-13915000.0;511000.0;72826263.73626374;-521295000.0;60913351.64835165;-467860000.0;-405791.2087912088;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5277395.604395605;-55353384.615384616;-300560883.496149;401961554.3771173;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;73857883.64266062;-405614.0407444005;-467748527.4725275
2011-04-09;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7232813.186813187;-13915000.0;511000.0;72825296.7032967;-521295000.0;60907395.604395606;-467860000.0;-409890.10989010986;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5310945.054945055;-55668307.692307696;-300926204.19867265;409713086.9872664;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;75028522.03345425;-409712.9418433016;-467753593.4065934
