DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax
2011-03-31;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7513000.0;-13915000.0;511000.0;72834000.0;-521295000.0;60961000.0;-467860000.0;-373000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5009000.0;-52834000.0;0.0;-187956.88180053988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58808.3544309147;0.0
2011-06-30;20257.0;-866328000.0;2010950000.0;715000.0;-692245000.0;4680000.0;-69575000.0;1533000.0;72746000.0;-2085180000.0;60419000.0;-935720000.0;-746000.0;0.0;0.0;8393000.0;0.0;0.0;0.0;0.0;21336000.0;-8062000.0;-81492000.0;-288776000.4276671;401721612.7285527;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72772966.56200026;-745822.8319531917
2011-09-30;20257.0;-1258434000.0;6032850000.0;2145000.0;-2076735000.0;5302000.0;-208725000.0;-783000.0;276921000.0;-5212950000.0;59732000.0;-1008864000.0;-1117000.0;279000.0;0.0;33572000.0;279000.0;279000.0;0.0;0.0;42672000.0;-14334000.0;-132256000.0;-105382412.01914775;1205728708.822719;429000.0;-415173527.0989099;-41727319.00492972;-2826399.4277357496;278961.57086696045;0.0;4796000.0;278961.407896815;0.0;0.0;275946336.2816025;-1116825.6973298667
2012-03-31;20257.0;-1096913000.0;13774006000.0;5878000.0;-3430265000.0;19873000.0;856554000.0;502076000.0;95822000.0;-10425900000.0;-2835000.0;-487734000.0;-406000.0;475632000.0;80828000.0;100716000.0;1339954000.0;-2228000.0;1253930000.0;528126000.0;-365778000.0;60962000.0;-8315000.0;447443498.79769874;2110002986.0653062;1730922.1874678016;584388472.0862362;1259437375.006818;502308711.2958635;475320084.03516424;80822722.1613824;11990000.0;1339581840.00608;1253842634.507488;527826209.4636228;96294975.85697168;-406167.9331633417
2012-06-30;20257.0;-111031000.0;27161818000.0;12549000.0;-4229034000.0;17509000.0;4036887000.0;1008536000.0;73946000.0;-16655378000.0;-4239000.0;119369000.0;-801000.0;950985000.0;161656000.0;248193000.0;2679629000.0;-2228000.0;2507860000.0;1584378000.0;-317189000.0;60419000.0;-476175000.0;1270619898.0749102;3632648003.2902617;2223171.6747623254;1246521464.2977629;2183769134.7390714;505988833.5791566;475386239.24960214;80833335.83684416;20383744.064529486;1339769145.1380136;1254018325.552869;527960776.8276878;74080980.44524449;-800812.3823632994
2012-09-30;20257.0;2319217000.0;46568638000.0;23829000.0;-4553698000.0;20853000.0;9596820000.0;1726009000.0;299542000.0;-24424497000.0;-2611865000.0;1745783000.0;-1307000.0;1426338000.0;242484000.0;532356000.0;4019304000.0;-2228000.0;3761790000.0;3168756000.0;-260982000.0;59732000.0;-549319000.0;2712302544.194812;3611791032.245577;3751093.873919963;1304496108.0532079;2462342462.349989;716969470.3953497;475386239.24960214;80833335.83684416;31175496.2167169;1339769145.1380136;1254018325.552869;528006769.0805364;298462296.1074268;-1306762.271829953
2013-03-31;20257.0;4450900000.0;72760498000.0;40558000.0;-7124130000.0;16194000.0;15327293000.0;4362273000.0;171146000.0;-34488680000.0;-5392000.0;-767952000.0;-439000.0;4107616000.0;366602000.0;1034658000.0;4354050000.0;5359000.0;4129488000.0;7582175000.0;-740119000.0;-1078000.0;-15176000.0;2417550654.6944256;3979253670.0350623;4448183.397496136;-1275465736.6179423;268518751.45735836;2635625771.133907;2681157649.0284905;124120493.59151618;47883016.60590282;334910411.27249837;367848411.5650587;2827660581.792651;171490791.47225747;-439206.1419096912
2013-06-30;20257.0;4761279000.0;106467118000.0;63692000.0;-12059437000.0;14760000.0;21593114000.0;6666431000.0;102403000.0;-45413595000.0;-180216000.0;-1204184000.0;-855000.0;6788894000.0;490720000.0;1861731000.0;4688796000.0;5359000.0;4497186000.0;14824635000.0;-679511000.0;-1865000.0;618793000.0;602909422.2884607;4312636594.30156;5261103.176857683;-1256665738.5663114;646582048.159524;2303874845.579746;2681464829.470714;124126178.08217214;63472488.40057327;334769879.0035287;367724239.54067904;2828291784.9731297;102770323.27884422;-854802.4077547659
2013-09-30;20257.0;5142116000.0;148797980000.0;97536000.0;-19690911000.0;35143000.0;28400939000.0;8769012000.0;477947000.0;-57842513000.0;-212574000.0;-1470621000.0;-1369000.0;9470172000.0;614838000.0;3148983000.0;5023542000.0;5359000.0;4864884000.0;24896136000.0;-553098000.0;-2388887000.0;2242309000.0;665179960.9612435;5023463984.210855;9422449.758740056;-1449474710.2095947;667156891.4367733;2102277478.7059915;2681464829.470714;124126178.08217214;81459752.16233447;334769879.0035287;367724239.54067904;2828537088.1940823;476132009.9843293;-1368758.51328181
2014-03-31;20257.0;5656452000.0;200901969000.0;143322000.0;-30181135000.0;40181000.0;35933464000.0;10769766000.0;111506000.0;-72718405000.0;-225723000.0;-423838000.0;-386000.0;10176804000.0;321400000.0;5069598000.0;5812896000.0;-5425000.0;5753027000.0;36905561000.0;-1084644000.0;-6512000.0;-308407000.0;798541042.5358979;5774521979.333941;10511371.893603595;-1473678506.5078087;863650033.1921124;2000442611.0256906;706956316.6091065;-293402406.8891798;107247612.92849;789346092.134142;888132779.1616652;1938171646.496513;112440844.70706376;-386233.4533378183
