DT_REFER;CD_CVM;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;DT_FIM_EXERC;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_3.11;VL_CONTA_PENULTIMO_7.04.01;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_7.04.01;LUCRO_LIQUIDO_PERIODO;IMOBILIZADO_NO_PERIODO_ANTERIOR;IMOBILIZADO_NO_PERIODO;IMOBILIZADO;DEPRECIACAO_AMORTIZACAO_E_EXAUSTAO_DA_DVA;ATIVO_CIRCULANTE_NO_PERIODO_ANTERIOR;ATIVO_CIRCULANTE_NO_PERIODO;ATIVO_CIRCULANTE;CAIXA_E_EQUIVALENTES_DE_CAIXA_NO_PERIODO_ANTERIOR;CAIXA_E_EQUIVALENTES_DE_CAIXA_NO_PERIODO;CAIXA_E_EQUIVALENTES_DE_CAIXA;EMPRESTIMOS_E_FINANCIAMENTOS_CIRCULANTES_NO_PERIODO_ANTERIOR;EMPRESTIMOS_E_FINANCIAMENTOS_CIRCULANTES_NO_PERIODO;EMPRESTIMOS_E_FINANCIAMENTOS_CIRCULANTES;PASSIVO_CIRCULANTE_NO_PERIODO_ANTERIOR;PASSIVO_CIRCULANTE_NO_PERIODO;PASSIVO_CIRCULANTE;EMPRESTIMOS_E_FINANCIAMENTOS_NAO_CIRCULANTES_NO_PERIODO_ANTERIOR;EMPRESTIMOS_E_FINANCIAMENTOS_NAO_CIRCULANTES_NO_PERIODO;EMPRESTIMOS_E_FINANCIAMENTOS_NAO_CIRCULANTES;FCFE
2012-03-31;2437;2011-12-31;2011-03-31;2012-03-31;36662672000.0;7994425000.0;53214861000.0;26124809000.0;4887560000.0;40463306000.0;1288848000.0;-425125000.0;36657299000.0;8232203000.0;54387027000.0;26434096000.0;5466635000.0;40435584000.0;1272468000.0;-443522000.0;1272468000.0;53214861000.0;54387027000.0;-1172166000.0;-443522000.0;36662672000.0;36657299000.0;5373000.0;7994425000.0;8232203000.0;-237778000.0;26124809000.0;26434096000.0;-309287000.0;4887560000.0;5466635000.0;-579075000.0;40463306000.0;40435584000.0;27722000.0;604099000.0
2012-03-31;2453;2011-12-31;2011-03-31;2012-03-31;8531649000.0;2862490000.0;8661791000.0;12169346000.0;7821060000.0;7958009000.0;526151000.0;-232797000.0;8462174000.0;2234744000.0;8692198000.0;9399513000.0;4788680000.0;10632508000.0;631388000.0;-237551000.0;631388000.0;8661791000.0;8692198000.0;-30407000.0;-237551000.0;8531649000.0;8462174000.0;69475000.0;2862490000.0;2234744000.0;627746000.0;12169346000.0;9399513000.0;2769833000.0;7821060000.0;4788680000.0;3032380000.0;7958009000.0;10632508000.0;-2674499000.0;10086973000.0
2012-03-31;18660;2011-12-31;2011-03-31;2012-03-31;5363055000.0;2699837000.0;8292076000.0;4499437000.0;1653053000.0;11954734000.0;465875000.0;-151723000.0;5529380000.0;2707338000.0;8497946000.0;4703766000.0;1940757000.0;11921391000.0;423198000.0;-179693000.0;423198000.0;8292076000.0;8497946000.0;-205870000.0;-179693000.0;5363055000.0;5529380000.0;-166325000.0;2699837000.0;2707338000.0;-7501000.0;4499437000.0;4703766000.0;-204329000.0;1653053000.0;1940757000.0;-287704000.0;11954734000.0;11921391000.0;33343000.0;75322000.0
2012-03-31;20257;2011-12-31;2011-03-31;2012-03-31;1556749000.0;495406000.0;13940000.0;1647891000.0;1307947000.0;2015405000.0;72834000.0;-373000.0;1754579000.0;691090000.0;14292000.0;1703948000.0;1378329000.0;1989889000.0;95822000.0;-406000.0;95822000.0;13940000.0;14292000.0;-352000.0;-406000.0;1556749000.0;1754579000.0;-197830000.0;495406000.0;691090000.0;-195684000.0;1647891000.0;1703948000.0;-56057000.0;1307947000.0;1378329000.0;-70382000.0;2015405000.0;1989889000.0;25516000.0;-249725000.0
2012-03-31;21237;2011-12-31;2011-03-31;2012-03-31;1708592000.0;1442415000.0;5393809000.0;1632130000.0;1061150000.0;4776218000.0;-52593000.0;-1964000.0;1711946000.0;1308186000.0;5988480000.0;2274991000.0;1681223000.0;4807610000.0;-77760000.0;-2920000.0;-77760000.0;5393809000.0;5988480000.0;-594671000.0;-2920000.0;1708592000.0;1711946000.0;-3354000.0;1442415000.0;1308186000.0;134229000.0;1632130000.0;2274991000.0;-642861000.0;1061150000.0;1681223000.0;-620073000.0;4776218000.0;4807610000.0;-31392000.0;-445739000.0
2012-06-30;2437;2011-12-31;2011-06-30;2012-06-30;36662672000.0;7994425000.0;53214861000.0;26124809000.0;4887560000.0;40463306000.0;347086000.0;-832859000.0;35242565000.0;8883775000.0;55701063000.0;29854369000.0;6499099000.0;42518304000.0;1354956000.0;-880555000.0;1354956000.0;53214861000.0;55701063000.0;-2486202000.0;-880555000.0;36662672000.0;35242565000.0;1420107000.0;7994425000.0;8883775000.0;-889350000.0;26124809000.0;29854369000.0;-3729560000.0;4887560000.0;6499099000.0;-1611539000.0;40463306000.0;42518304000.0;-2054998000.0;-3524305000.0
2012-06-30;2453;2011-12-31;2011-06-30;2012-06-30;8531649000.0;2862490000.0;8661791000.0;12169346000.0;7821060000.0;7958009000.0;523057000.0;-476130000.0;8565893000.0;2335270000.0;8703735000.0;13003998000.0;9069865000.0;6972648000.0;604232000.0;-482715000.0;604232000.0;8661791000.0;8703735000.0;-41944000.0;-482715000.0;8531649000.0;8565893000.0;-34244000.0;2862490000.0;2335270000.0;527220000.0;12169346000.0;13003998000.0;-834652000.0;7821060000.0;9069865000.0;-1248805000.0;7958009000.0;6972648000.0;985361000.0;-1816673000.0
2012-06-30;18660;2011-12-31;2011-06-30;2012-06-30;5363055000.0;2699837000.0;8292076000.0;4499437000.0;1653053000.0;11954734000.0;294083000.0;-312448000.0;4879642000.0;2014281000.0;9290004000.0;4842313000.0;2011149000.0;13598070000.0;233628000.0;-393007000.0;233628000.0;8292076000.0;9290004000.0;-997928000.0;-393007000.0;5363055000.0;4879642000.0;483413000.0;2699837000.0;2014281000.0;685556000.0;4499437000.0;4842313000.0;-342876000.0;1653053000.0;2011149000.0;-358096000.0;11954734000.0;13598070000.0;-1643336000.0;2668612000.0
2012-06-30;20257;2011-12-31;2011-06-30;2012-06-30;1556749000.0;495406000.0;13940000.0;1647891000.0;1307947000.0;2015405000.0;72746000.0;-746000.0;2578940000.0;1529686000.0;14825000.0;2627695000.0;2310695000.0;1993490000.0;73946000.0;-801000.0;73946000.0;13940000.0;14825000.0;-885000.0;-801000.0;1556749000.0;2578940000.0;-1022191000.0;495406000.0;1529686000.0;-1034280000.0;1647891000.0;2627695000.0;-979804000.0;1307947000.0;2310695000.0;-1002748000.0;2015405000.0;1993490000.0;21915000.0;-2976806000.0
2012-06-30;21237;2011-12-31;2011-06-30;2012-06-30;1708592000.0;1442415000.0;5393809000.0;1632130000.0;1061150000.0;4776218000.0;-78258000.0;-4154000.0;1491115000.0;1012720000.0;6241090000.0;2444505000.0;1710260000.0;3419411000.0;-133730000.0;-5375000.0;-133730000.0;5393809000.0;6241090000.0;-847281000.0;-5375000.0;1708592000.0;1491115000.0;217477000.0;1442415000.0;1012720000.0;429695000.0;1632130000.0;2444505000.0;-812375000.0;1061150000.0;1710260000.0;-649110000.0;4776218000.0;3419411000.0;1356807000.0;-1468203000.0
2012-09-30;2437;2011-12-31;2011-09-30;2012-09-30;36662672000.0;7994425000.0;53214861000.0;26124809000.0;4887560000.0;40463306000.0;1558442000.0;-1244473000.0;34889942000.0;9029039000.0;58134848000.0;31468813000.0;7043038000.0;43368145000.0;1004773000.0;-1324825000.0;1004773000.0;53214861000.0;58134848000.0;-4919987000.0;-1324825000.0;36662672000.0;34889942000.0;1772730000.0;7994425000.0;9029039000.0;-1034614000.0;26124809000.0;31468813000.0;-5344004000.0;4887560000.0;7043038000.0;-2155478000.0;40463306000.0;43368145000.0;-2904839000.0;-3836666000.0
2012-09-30;2453;2011-12-31;2011-09-30;2012-09-30;8531649000.0;2862490000.0;8661791000.0;12169346000.0;7821060000.0;7958009000.0;657247000.0;-724779000.0;9970105000.0;2538780000.0;8752301000.0;11021911000.0;6928670000.0;9684275000.0;937131000.0;-711952000.0;937131000.0;8661791000.0;8752301000.0;-90510000.0;-711952000.0;8531649000.0;9970105000.0;-1438456000.0;2862490000.0;2538780000.0;323710000.0;12169346000.0;11021911000.0;1147435000.0;7821060000.0;6928670000.0;892390000.0;7958009000.0;9684275000.0;-1726266000.0;6167656000.0
2012-09-30;18660;2011-12-31;2011-09-30;2012-09-30;5363055000.0;2699837000.0;8292076000.0;4499437000.0;1653053000.0;11954734000.0;379064000.0;-474917000.0;5574492000.0;2664101000.0;9439624000.0;5105724000.0;2291758000.0;14789583000.0;321479000.0;-617836000.0;321479000.0;8292076000.0;9439624000.0;-1147548000.0;-617836000.0;5363055000.0;5574492000.0;-211437000.0;2699837000.0;2664101000.0;35736000.0;4499437000.0;5105724000.0;-606287000.0;1653053000.0;2291758000.0;-638705000.0;11954734000.0;14789583000.0;-2834849000.0;2723957000.0
2012-09-30;20257;2011-12-31;2011-09-30;2012-09-30;1556749000.0;495406000.0;13940000.0;1647891000.0;1307947000.0;2015405000.0;276921000.0;-1117000.0;4023306000.0;813234000.0;16394000.0;2946985000.0;2596982000.0;2204503000.0;299542000.0;-1307000.0;299542000.0;13940000.0;16394000.0;-2454000.0;-1307000.0;1556749000.0;4023306000.0;-2466557000.0;495406000.0;813234000.0;-317828000.0;1647891000.0;2946985000.0;-1299094000.0;1307947000.0;2596982000.0;-1289035000.0;2015405000.0;2204503000.0;-189098000.0;-267441000.0
2012-09-30;21237;2011-12-31;2011-09-30;2012-09-30;1708592000.0;1442415000.0;5393809000.0;1632130000.0;1061150000.0;4776218000.0;36621000.0;-6702000.0;1350828000.0;984785000.0;6875328000.0;2670651000.0;2201307000.0;3514635000.0;-86788000.0;-7764000.0;-86788000.0;5393809000.0;6875328000.0;-1481519000.0;-7764000.0;1708592000.0;1350828000.0;357764000.0;1442415000.0;984785000.0;457630000.0;1632130000.0;2670651000.0;-1038521000.0;1061150000.0;2201307000.0;-1140157000.0;4776218000.0;3514635000.0;1261583000.0;-1495798000.0
2013-03-31;2437;2012-12-31;2012-03-31;2013-03-31;41869836000.0;6010838000.0;29494833000.0;25334472000.0;1501513000.0;27220990000.0;1272469000.0;-419224000.0;40305296000.0;7161214000.0;29538499000.0;23929666000.0;1363083000.0;27013128000.0;-33886000.0;-344063000.0;-33886000.0;29494833000.0;29538499000.0;-43666000.0;-344063000.0;41869836000.0;40305296000.0;1564540000.0;6010838000.0;7161214000.0;-1150376000.0;25334472000.0;23929666000.0;1404806000.0;1501513000.0;1363083000.0;138430000.0;27220990000.0;27013128000.0;207862000.0;-2864201000.0
2013-03-31;2453;2012-12-31;2012-03-31;2013-03-31;8803752000.0;1919125000.0;6108729000.0;12798306000.0;6466069000.0;3949724000.0;631388000.0;-197380000.0;6991070000.0;2041352000.0;6036345000.0;10568898000.0;6327874000.0;3501036000.0;865347000.0;-202985000.0;865347000.0;6108729000.0;6036345000.0;72384000.0;-202985000.0;8803752000.0;6991070000.0;1812682000.0;1919125000.0;2041352000.0;-122227000.0;12798306000.0;10568898000.0;2229408000.0;6466069000.0;6327874000.0;138195000.0;3949724000.0;3501036000.0;448688000.0;451757000.0
2013-03-31;18660;2012-12-31;2012-03-31;2013-03-31;5544938000.0;2435034000.0;7104060000.0;4969447000.0;1962301000.0;13510730000.0;412608000.0;-149019000.0;6492544000.0;2772012000.0;7337041000.0;4973542000.0;1929920000.0;14202938000.0;405302000.0;-186973000.0;405302000.0;7104060000.0;7337041000.0;-232981000.0;-186973000.0;5544938000.0;6492544000.0;-947606000.0;2435034000.0;2772012000.0;-336978000.0;4969447000.0;4973542000.0;-4095000.0;1962301000.0;1929920000.0;32381000.0;13510730000.0;14202938000.0;-692208000.0;1445454000.0
2013-03-31;20257;2012-12-31;2012-03-31;2013-03-31;3762674000.0;538696000.0;17458000.0;642962000.0;421715000.0;4316320000.0;95822000.0;-368000.0;3724741000.0;490462000.0;17132000.0;627058000.0;409663000.0;4123294000.0;171146000.0;-439000.0;171146000.0;17458000.0;17132000.0;326000.0;-439000.0;3762674000.0;3724741000.0;37933000.0;538696000.0;490462000.0;48234000.0;642962000.0;627058000.0;15904000.0;421715000.0;409663000.0;12052000.0;4316320000.0;4123294000.0;193026000.0;63846000.0
2013-03-31;21237;2012-12-31;2012-03-31;2013-03-31;765908000.0;519277000.0;5570399000.0;2109465000.0;1820085000.0;3109760000.0;-77760000.0;-2687000.0;817973000.0;359121000.0;5933978000.0;2829447000.0;2342132000.0;3122924000.0;-257061000.0;-17895000.0;-257061000.0;5570399000.0;5933978000.0;-363579000.0;-17895000.0;765908000.0;817973000.0;-52065000.0;519277000.0;359121000.0;160156000.0;2109465000.0;2829447000.0;-719982000.0;1820085000.0;2342132000.0;-522047000.0;3109760000.0;3122924000.0;-13164000.0;-767865000.0
2013-06-30;2437;2012-12-31;2012-06-30;2013-06-30;41869836000.0;6010838000.0;29494833000.0;25334472000.0;1500208000.0;27152975000.0;1354955000.0;-834378000.0;37249542000.0;4679040000.0;29851057000.0;23002497000.0;1362362000.0;30221581000.0;168752000.0;-710815000.0;168752000.0;29494833000.0;29851057000.0;-356224000.0;-710815000.0;41869836000.0;37249542000.0;4620294000.0;6010838000.0;4679040000.0;1331798000.0;25334472000.0;23002497000.0;2331975000.0;1500208000.0;1362362000.0;137846000.0;27152975000.0;30221581000.0;-3068606000.0;3395890000.0
2013-06-30;2453;2012-12-31;2012-06-30;2013-06-30;8803752000.0;1919125000.0;6108729000.0;12798306000.0;6466069000.0;3949724000.0;604232000.0;-371315000.0;7490510000.0;1630058000.0;5950404000.0;6230970000.0;2421998000.0;7041185000.0;617238000.0;-387125000.0;617238000.0;6108729000.0;5950404000.0;158325000.0;-387125000.0;8803752000.0;7490510000.0;1313242000.0;1919125000.0;1630058000.0;289067000.0;12798306000.0;6230970000.0;6567336000.0;6466069000.0;2421998000.0;4044071000.0;3949724000.0;7041185000.0;-3091461000.0;13039548000.0
2013-06-30;18660;2012-12-31;2012-06-30;2013-06-30;5544938000.0;2435034000.0;7104060000.0;4969447000.0;1962301000.0;13510730000.0;245863000.0;-311585000.0;8330962000.0;5419584000.0;7553954000.0;6080252000.0;3016163000.0;15684811000.0;-134068000.0;-377504000.0;-134068000.0;7104060000.0;7553954000.0;-449894000.0;-377504000.0;5544938000.0;8330962000.0;-2786024000.0;2435034000.0;5419584000.0;-2984550000.0;4969447000.0;6080252000.0;-1110805000.0;1962301000.0;3016163000.0;-1053862000.0;13510730000.0;15684811000.0;-2174081000.0;-3235340000.0
2013-06-30;20257;2012-12-31;2012-06-30;2013-06-30;3762674000.0;538696000.0;17458000.0;642962000.0;421715000.0;4316320000.0;73946000.0;-737000.0;1903437000.0;131378000.0;17986000.0;907897000.0;796212000.0;3791188000.0;102403000.0;-855000.0;102403000.0;17458000.0;17986000.0;-528000.0;-855000.0;3762674000.0;1903437000.0;1859237000.0;538696000.0;131378000.0;407318000.0;642962000.0;907897000.0;-264935000.0;421715000.0;796212000.0;-374497000.0;4316320000.0;3791188000.0;525132000.0;-2107089000.0
2013-06-30;21237;2012-12-31;2012-06-30;2013-06-30;765908000.0;519277000.0;5570399000.0;2109465000.0;1820085000.0;3109760000.0;-133724000.0;-4692000.0;726210000.0;140715000.0;6525176000.0;3666307000.0;2651125000.0;3087188000.0;-233488000.0;-44519000.0;-233488000.0;5570399000.0;6525176000.0;-954777000.0;-44519000.0;765908000.0;726210000.0;39698000.0;519277000.0;140715000.0;378562000.0;2109465000.0;3666307000.0;-1556842000.0;1820085000.0;2651125000.0;-831040000.0;3109760000.0;3087188000.0;22572000.0;-1016258000.0
2013-09-30;2437;2012-12-31;2012-09-30;2013-09-30;41869836000.0;6010838000.0;29494833000.0;25334472000.0;1500208000.0;27152975000.0;1004775000.0;-1249610000.0;37611310000.0;4325848000.0;30037605000.0;22887300000.0;1693404000.0;30665509000.0;-917971000.0;-1083356000.0;-917971000.0;29494833000.0;30037605000.0;-542772000.0;-1083356000.0;41869836000.0;37611310000.0;4258526000.0;6010838000.0;4325848000.0;1684990000.0;25334472000.0;22887300000.0;2447172000.0;1500208000.0;1693404000.0;-193196000.0;27152975000.0;30665509000.0;-3512534000.0;3419409000.0
2013-09-30;2453;2012-12-31;2012-09-30;2013-09-30;8803752000.0;1919125000.0;6108729000.0;12798306000.0;6466069000.0;3949724000.0;937131000.0;-560171000.0;7701510000.0;2111144000.0;5880838000.0;6061965000.0;2485579000.0;7052810000.0;788841000.0;-573714000.0;788841000.0;6108729000.0;5880838000.0;227891000.0;-573714000.0;8803752000.0;7701510000.0;1102242000.0;1919125000.0;2111144000.0;-192019000.0;12798306000.0;6061965000.0;6736341000.0;6466069000.0;2485579000.0;3980490000.0;3949724000.0;7052810000.0;-3103086000.0;12320873000.0
2013-09-30;18660;2012-12-31;2012-09-30;2013-09-30;5544938000.0;2435034000.0;7104061000.0;4969447000.0;1962301000.0;13510730000.0;356458000.0;-503482000.0;8503599000.0;5405508000.0;7646624000.0;5746552000.0;2581817000.0;15689694000.0;354945000.0;-567526000.0;354945000.0;7104061000.0;7646624000.0;-542563000.0;-567526000.0;5544938000.0;8503599000.0;-2958661000.0;2435034000.0;5405508000.0;-2970474000.0;4969447000.0;5746552000.0;-777105000.0;1962301000.0;2581817000.0;-619516000.0;13510730000.0;15689694000.0;-2178964000.0;-1869962000.0
2013-09-30;20257;2012-12-31;2012-09-30;2013-09-30;3762674000.0;538696000.0;17458000.0;642962000.0;421715000.0;4316320000.0;299542000.0;-1212000.0;1973895000.0;152056000.0;22189000.0;976551000.0;824609000.0;3589611000.0;477947000.0;-1369000.0;477947000.0;17458000.0;22189000.0;-4731000.0;-1369000.0;3762674000.0;1973895000.0;1788779000.0;538696000.0;152056000.0;386640000.0;642962000.0;976551000.0;-333589000.0;421715000.0;824609000.0;-402894000.0;4316320000.0;3589611000.0;726709000.0;-1997382000.0
2013-09-30;21237;2012-12-31;2012-09-30;2013-09-30;765908000.0;519277000.0;5570399000.0;2109465000.0;1820085000.0;3109760000.0;-86788000.0;-6695000.0;786624000.0;356552000.0;6483301000.0;3170392000.0;2527908000.0;3028568000.0;-172705000.0;-89871000.0;-172705000.0;5570399000.0;6483301000.0;-912902000.0;-89871000.0;765908000.0;786624000.0;-20716000.0;519277000.0;356552000.0;162725000.0;2109465000.0;3170392000.0;-1060927000.0;1820085000.0;2527908000.0;-707823000.0;3109760000.0;3028568000.0;81192000.0;-853450000.0
2014-03-31;2437;2013-12-31;2013-03-31;2014-03-31;39079833000.0;4477384000.0;30038514000.0;25734736000.0;2164165000.0;32604028000.0;-33886000.0;-344063000.0;29327169000.0;5152288000.0;29924842000.0;19701854000.0;2688256000.0;32420770000.0;992953000.0;-380915000.0;992953000.0;30038514000.0;29924842000.0;113672000.0;-380915000.0;39079833000.0;29327169000.0;9752664000.0;4477384000.0;5152288000.0;-674904000.0;25734736000.0;19701854000.0;6032882000.0;2164165000.0;2688256000.0;-524091000.0;32604028000.0;32420770000.0;183258000.0;-5278573000.0
2014-03-31;2453;2013-12-31;2013-03-31;2014-03-31;6668783000.0;2201827000.0;5817455000.0;5921641000.0;2237766000.0;7219598000.0;865347000.0;-202985000.0;6792025000.0;1110535000.0;5766016000.0;6739072000.0;2325485000.0;7109164000.0;1250089000.0;-182033000.0;1250089000.0;5817455000.0;5766016000.0;51439000.0;-182033000.0;6668783000.0;6792025000.0;-123242000.0;2201827000.0;1110535000.0;1091292000.0;5921641000.0;6739072000.0;-817431000.0;2237766000.0;2325485000.0;-87719000.0;7219598000.0;7109164000.0;110434000.0;2306859000.0
